(4159, 536)
(1954, 2799)
(874, 428)
(3861, 989)
(2629, 2403)
(3872, 1098)
(781, 475)
(2721, 2081)
(4316, 774)
(2171, 2880)
(452, 905)
(691, 686)
(528, 817)
(1911, 2556)
(507, 735)
(3993, 1074)
(537, 1054)
(2351, 2013)
(1040, 851)
(3668, 919)
(3987, 1128)
(2718, 2637)
(4121, 1202)
(4197, 967)
(3888, 1168)
(3830, 813)
(2935, 2574)
(667, 500)
(4034, 1286)
(2735, 1925)
(1822, 2505)
(2119, 2342)
(785, 487)
(2493, 2602)
(1916, 2084)
(4201, 443)
(4065, 618)
(1023, 707)
(2171, 2496)
(2245, 2455)
(2140, 2910)
(3670, 1158)
(2277, 2151)
(2337, 2802)
(708, 1171)
(1999, 2245)
(2660, 2146)
(4187, 1089)
(4305, 981)
(2422, 2258)
(2031, 2148)
(3961, 458)
(1952, 2168)
(1824, 2556)
(3804, 857)
(1990, 2228)
(862, 891)
(2599, 2586)
(2364, 2706)
(2636, 2430)
(4041, 623)
(4228, 650)
(723, 748)
(4280, 590)
(3905, 1009)
(2304, 2818)
(4000, 408)
(2283, 2487)
(968, 1073)
(4243, 1058)
(1099, 922)
(2864, 2620)
(1021, 872)
(3638, 570)
(4023, 390)
(4381, 553)
(2317, 2804)
(2013, 2457)
(3758, 583)
(2033, 2000)
(2752, 1976)
(749, 797)
(4017, 553)
(4100, 947)
(898, 961)
(1932, 2134)
(4113, 586)
(586, 577)
(4344, 587)
(3597, 934)
(2332, 2405)
(4047, 980)
(2544, 2784)
(2344, 2636)
(3826, 543)
(4101, 982)
(955, 1061)
(4058, 557)
(3982, 838)
(4428, 847)
(2838, 2370)
(4124, 399)
(2746, 2880)
(4263, 382)
(3720, 437)
(4227, 369)
(1161, 874)
(683, 740)
(3998, 409)
(2183, 1879)
(4042, 397)
(4412, 621)
(4085, 1216)
(896, 775)
(2688, 2429)
(1189, 714)
(4017, 580)
(2103, 2227)
(480, 891)
(672, 1050)
(2212, 2761)
(2241, 2034)
(3717, 859)
(2903, 2350)
(4066, 719)
(2203, 2852)
(886, 1045)
(2337, 1984)
(2061, 2687)
(3622, 658)
(4246, 438)
(993, 626)
(2134, 1889)
(2661, 1929)
(1029, 483)
(1867, 2639)
(3712, 1177)
(618, 538)
(2602, 1888)
(828, 1101)
(4120, 625)
(2072, 2857)
(3634, 618)
(2016, 2686)
(570, 627)
(2306, 2256)
(3887, 1275)
(3582, 565)
(2706, 2606)
(3641, 994)
(2810, 2120)
(3809, 778)
(3866, 1044)
(2415, 2364)
(1981, 2126)
(2330, 1975)
(4290, 536)
(2504, 2819)
(3734, 1159)
(3942, 1247)
(1001, 1125)
(4217, 545)
(960, 549)
(847, 912)
(765, 888)
(2845, 2043)
(2598, 2333)
(3523, 721)
(4092, 784)
(2775, 2857)
(2605, 2095)
(1045, 707)
(662, 468)
(771, 781)
(2496, 1849)
(2546, 2435)
(711, 875)
(765, 427)
(556, 659)
(736, 992)
(773, 724)
(2130, 2888)
(824, 1039)
(2408, 2064)
(3816, 1226)
(2309, 2899)
(3793, 450)
(2610, 2595)
(949, 1081)
(3699, 558)
(2313, 2222)
(1954, 2375)
(4041, 824)
(2490, 1975)
(2543, 2229)
(932, 652)
(2307, 2707)
(3648, 738)
(2551, 2221)
(744, 1028)
(1829, 2383)
(3909, 995)
(3898, 546)
(681, 1006)
(3590, 723)
(572, 884)
(2189, 2922)
(3978, 309)
(1048, 1005)
(832, 787)
(837, 887)
(713, 1164)
(2052, 2575)
(860, 754)
(2631, 2000)
(3751, 1000)
(2523, 2568)
(2536, 2630)
(474, 1006)
(4178, 974)
(4082, 577)
(2496, 2293)
(2833, 2178)
(2070, 2561)
(3999, 585)
(2538, 2847)
(602, 939)
(711, 866)
(3999, 889)
(2917, 2276)
